amfi_code,scheme_name,latest_date,latest_nav,cagr_1yr,cagr_3yr,cagr_5yr
119094,Axis Midcap Fund - Regular - Growth,2026-05-29,203.8581,22.28,35.36,
148567,Mirae Asset Large Cap Fund - Regular - Growth,2026-05-29,230.2708,20.38,34.19,
120504,ICICI Pru Bluechip Fund - Direct - Growth,2026-05-29,151.1311,13.07,33.17,
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,2026-05-29,342.0072,53.28,32.47,
120505,ICICI Pru Midcap Fund - Regular - Growth,2026-05-29,473.764,29.63,31.54,
119551,SBI Bluechip Fund - Regular Plan - Growth,2026-05-29,149.3216,60.49,30.37,
120843,Kotak Flexicap Fund - Regular - Growth,2026-05-29,163.2397,26.68,29.71,
101206,ABSL Frontline Equity Fund - Regular - Growth,2026-05-29,773.2939,47.96,28.69,
148569,Mirae Asset Tax Saver Fund - Regular - Growth,2026-05-29,97.7435,39.78,28.41,
149324,DSP Small Cap Fund - Regular - Growth,2026-05-29,279.7511,65.2,26.95,
149323,DSP Midcap Fund - Regular - Growth,2026-05-29,245.3651,21.5,26.9,
119598,SBI Small Cap Fund - Regular Plan - Growth,2026-05-29,309.205,82.85,26.09,
102887,UTI Flexi Cap Fund - Regular - Growth,2026-05-29,378.9657,13.59,24.79,
118632,Nippon India Large Cap Fund - Regular - Growth,2026-05-29,110.5554,34.01,22.58,
118633,Nippon India Large Cap Fund - Direct - Growth,2026-05-29,91.601,25.56,21.26,
119093,Axis Bluechip Fund - Direct - Growth,2026-05-29,58.4203,19.78,20.19,
102885,UTI Nifty 50 Index Fund - Regular - Growth,2026-05-29,187.7797,20.22,19.66,
118635,Nippon India ETF Nifty 50 BeES,2026-05-29,326.7508,22.51,19.42,
125497,HDFC Top 100 Fund - Direct Plan - Growth,2026-05-29,1204.9571,28.7,18.12,
149322,DSP Top 100 Equity Fund - Regular - Growth,2026-05-29,606.2349,18.12,17.98,
120506,ICICI Pru Value Discovery Fund - Regular - Growth,2026-05-29,404.4207,41.85,17.85,
120841,Kotak Bluechip Fund - Regular - Growth,2026-05-29,482.127,16.85,17.22,
119552,SBI Bluechip Fund - Direct Plan - Growth,2026-05-29,137.7323,5.71,15.74,
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,2026-05-29,205.451,14.28,14.67,
120503,ICICI Pru Bluechip Fund - Regular - Growth,2026-05-29,118.1496,8.5,13.99,
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,2026-05-29,188.3619,15.46,11.67,
120507,ICICI Pru Liquid Fund - Regular - Growth,2026-05-29,388.5939,7.43,7.39,
118634,Nippon India Small Cap Fund - Regular - Growth,2026-05-29,134.6683,15.82,7.25,
120842,Kotak Emerging Equity Fund - Regular - Growth,2026-05-29,82.6457,22.52,6.91,
120844,Kotak Liquid Fund - Regular - Growth,2026-05-29,4268.5497,7.13,6.71,
101208,ABSL Liquid Fund - Regular - Growth,2026-05-29,410.1021,7.24,6.32,
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,2026-05-29,54.2038,5.53,5.92,
100025,HDFC Short Term Debt Fund - Regular - Growth,2026-05-29,31.8843,3.71,3.91,
118636,Nippon India Gilt Securities Fund - Regular - Growth,2026-05-29,37.8243,10.46,3.83,
119092,Axis Bluechip Fund - Regular - Growth,2026-05-29,50.8387,1.61,1.23,
100016,HDFC Top 100 Fund - Regular Plan - Growth,2026-05-29,583.6113,-2.23,1.03,
102886,UTI Mid Cap Fund - Regular - Growth,2026-05-29,125.564,-16.81,-0.95,
119599,SBI Small Cap Fund - Direct Plan - Growth,2026-05-29,105.4849,13.96,-1.17,
101207,ABSL Small Cap Fund - Regular - Growth,2026-05-29,53.9836,-24.0,-4.7,
119095,Axis Small Cap Fund - Regular - Growth,2026-05-29,56.1319,-42.82,-10.95,
