amfi_code,scheme_name,cagr_3yr,sharpe_ratio,alpha_annual,max_drawdown_pct,expense_ratio_pct,rank_cagr,rank_sharpe,rank_alpha,rank_expense,rank_dd,score_cagr,score_sharpe,score_alpha,score_expense,score_dd,fund_score,rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,34.19,1.448,26.98,-11.27,1.46,2.0,1.0,7.0,23.0,8.0,97.5,100.0,85.0,45.0,82.5,86.25,1
120505,ICICI Pru Midcap Fund - Regular - Growth,31.54,1.18,29.26,-18.19,1.36,5.0,5.0,3.0,15.0,25.0,90.0,90.0,95.0,65.0,40.0,82.25,2
120843,Kotak Flexicap Fund - Regular - Growth,29.71,1.307,27.33,-12.97,1.45,7.0,2.0,5.0,22.0,13.0,85.0,97.5,90.0,47.5,70.0,82.0,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,32.47,1.094,27.2,-16.22,1.38,4.0,7.0,6.0,16.0,20.0,92.5,85.0,87.5,62.5,52.5,81.12,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,33.17,1.027,21.19,-12.59,0.8,3.0,9.0,13.0,12.0,12.0,95.0,80.0,70.0,72.5,72.5,80.62,5
119094,Axis Midcap Fund - Regular - Growth,35.36,0.998,26.08,-20.96,1.38,1.0,11.0,9.0,16.0,28.0,100.0,75.0,80.0,62.5,32.5,77.38,6
119551,SBI Bluechip Fund - Regular Plan - Growth,30.37,1.208,23.2,-15.01,1.54,6.0,4.0,10.0,30.0,17.0,87.5,92.5,77.5,27.500000000000004,60.0,75.0,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,28.41,1.235,28.27,-16.4,1.6,9.0,3.0,4.0,36.0,21.0,80.0,95.0,92.5,12.5,50.0,73.12,8
101206,ABSL Frontline Equity Fund - Regular - Growth,28.69,1.027,21.4,-11.29,1.6,8.0,9.0,12.0,36.0,9.0,82.5,80.0,72.5,12.5,80.0,69.12,9
119598,SBI Small Cap Fund - Regular Plan - Growth,26.09,0.945,30.34,-28.71,1.43,12.0,14.0,1.0,21.0,36.0,72.5,67.5,100.0,50.0,12.5,67.38,10
149324,DSP Small Cap Fund - Regular - Growth,26.95,0.95,30.06,-31.17,1.52,10.0,13.0,2.0,26.0,37.0,77.5,70.0,97.5,37.5,10.0,66.88,11
149323,DSP Midcap Fund - Regular - Growth,26.9,1.132,26.6,-17.25,1.61,11.0,6.0,8.0,38.0,22.0,75.0,87.5,82.5,7.5,47.5,66.75,12
118632,Nippon India Large Cap Fund - Regular - Growth,22.58,1.082,21.83,-17.41,1.51,14.0,8.0,11.0,24.0,23.0,67.5,82.5,75.0,42.5,45.0,66.75,13
119552,SBI Bluechip Fund - Direct Plan - Growth,15.74,0.953,19.87,-11.8,0.66,23.0,12.0,15.0,4.0,11.0,45.0,72.5,65.0,92.5,75.0,66.0,14
125497,HDFC Top 100 Fund - Direct Plan - Growth,18.12,0.776,17.73,-15.2,0.92,19.0,18.0,16.0,14.0,18.0,55.00000000000001,57.49999999999999,62.5,67.5,57.49999999999999,59.25,15
118633,Nippon India Large Cap Fund - Direct - Growth,21.26,0.645,15.64,-18.63,0.72,15.0,21.0,22.0,5.0,26.0,65.0,50.0,47.5,90.0,37.5,58.75,16
118635,Nippon India ETF Nifty 50 BeES,19.42,0.665,15.14,-11.65,0.89,18.0,19.0,23.0,13.0,10.0,57.49999999999999,55.00000000000001,45.0,70.0,77.5,58.25,17
102885,UTI Nifty 50 Index Fund - Regular - Growth,19.66,0.817,17.05,-10.86,1.57,17.0,16.0,19.0,34.0,7.0,60.0,62.5,55.00000000000001,17.5,85.0,55.75,18
