amfi_code,scheme_name,ann_return_pct,ann_std_pct,sharpe_ratio
148567,Mirae Asset Large Cap Fund - Regular - Growth,27.06,14.19,1.448
120843,Kotak Flexicap Fund - Regular - Growth,27.26,15.89,1.307
148569,Mirae Asset Tax Saver Fund - Regular - Growth,28.33,17.67,1.235
119551,SBI Bluechip Fund - Regular Plan - Growth,23.1,13.74,1.208
120505,ICICI Pru Midcap Fund - Regular - Growth,29.27,19.29,1.18
149323,DSP Midcap Fund - Regular - Growth,26.59,17.75,1.132
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,27.21,18.94,1.094
118632,Nippon India Large Cap Fund - Regular - Growth,21.8,14.15,1.082
101206,ABSL Frontline Equity Fund - Regular - Growth,21.46,14.57,1.027
120504,ICICI Pru Bluechip Fund - Direct - Growth,21.24,14.36,1.027
119094,Axis Midcap Fund - Regular - Growth,25.87,19.41,0.998
119552,SBI Bluechip Fund - Direct Plan - Growth,19.79,13.94,0.953
149324,DSP Small Cap Fund - Regular - Growth,30.09,24.84,0.95
119598,SBI Small Cap Fund - Regular Plan - Growth,30.27,25.14,0.945
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,20.79,15.43,0.926
102885,UTI Nifty 50 Index Fund - Regular - Growth,16.99,12.84,0.817
120503,ICICI Pru Bluechip Fund - Regular - Growth,17.58,13.88,0.798
125497,HDFC Top 100 Fund - Direct Plan - Growth,17.88,14.67,0.776
118635,Nippon India ETF Nifty 50 BeES,15.13,12.98,0.665
120506,ICICI Pru Value Discovery Fund - Regular - Growth,16.38,15.23,0.649
118633,Nippon India Large Cap Fund - Direct - Growth,15.53,14.0,0.645
102887,UTI Flexi Cap Fund - Regular - Growth,16.26,15.76,0.62
120507,ICICI Pru Liquid Fund - Regular - Growth,6.74,0.49,0.496
120841,Kotak Bluechip Fund - Regular - Growth,13.15,13.46,0.494
149322,DSP Top 100 Equity Fund - Regular - Growth,13.16,14.35,0.464
118634,Nippon India Small Cap Fund - Regular - Growth,17.82,25.24,0.448
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,12.02,18.35,0.301
101207,ABSL Small Cap Fund - Regular - Growth,10.7,25.8,0.163
119093,Axis Bluechip Fund - Direct - Growth,8.31,13.98,0.13
120842,Kotak Emerging Equity Fund - Regular - Growth,7.86,17.89,0.076
119092,Axis Bluechip Fund - Regular - Growth,6.93,13.95,0.031
119599,SBI Small Cap Fund - Direct Plan - Growth,5.07,24.95,-0.057
119095,Axis Small Cap Fund - Regular - Growth,4.6,25.07,-0.076
120844,Kotak Liquid Fund - Regular - Growth,6.45,0.51,-0.089
100016,HDFC Top 100 Fund - Regular Plan - Growth,3.57,14.55,-0.202
102886,UTI Mid Cap Fund - Regular - Growth,2.77,18.13,-0.206
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.6,3.97,-0.227
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.08,3.99,-0.357
100025,HDFC Short Term Debt Fund - Regular - Growth,4.29,3.91,-0.567
101208,ABSL Liquid Fund - Regular - Growth,6.09,0.51,-0.816
